,unickname,datetaken,licensename,hash,latitude,longitude
3,quinnums,2004-05-17 00:44:29.0,Attribution License,ffd3eb12a16cb83138f26e6f36dec967,,
9,striatic,2004-05-11 02:00:33.0,Attribution License,fff0eece99cc71c2e91fe716051599,53.535233,-113.565075
10,striatic,2004-05-27 10:34:28.0,Attribution License,fedefe9f11bf2a749a749bfca8bf28,,
15,quinnums,2004-05-29 02:14:36.0,Attribution License,ff379727f52bcec4dfb237ace41627,,
1284082,PaperBird+Photography%3C3,2007-05-06 06:11:48.0,Attribution License,75f7305b1fd94044e14bdcdde469dbb2,,
1284097,Chiara+Marra,2007-05-04 15:46:43.0,Attribution License,dd571a41a015354d92a859f7ef31201,38.23818,13.183593
1284106,maplesbranch,2006-04-23 19:20:40.0,Attribution License,e48d6d552465c5728585b82a53d6e02c,,
1284109,maplesbranch,2006-05-01 07:34:13.0,Attribution License,598ad3bc7e6e876e61af116693c7ad9,,
1284111,polandeze,2005-10-20 20:30:23.0,Attribution License,bf5bc0b71c9f46c7353e4a5a6ffc9a2,53.611451,-1.566946
1284127,larryb2007,2007-04-24 14:30:12.0,Attribution License,1d696eabbee097a82a255f387a8e246,,
